# Digitized from CMS-DP-2015-015, page 8 (PDF page index 7).
# Source: https://cds.cern.ch/record/2037372/files/DP2015_015.pdf
# Approximate raster digitization; these are not official tabulated CMS data.
# Axis calibration: x pixels 111..660 -> -2..2; y pixels 429.5,280,130.5 -> 10,100,1000 events.
# Values clipped at/below the visible lower frame are written as nan.
# x_center prompt_tracker_muon prompt_muon_only displaced_muon_only standard_muon_only_displaced
-1.99 nan nan 10.554 15.752
-1.97 nan nan 12.123 18.094
-1.95 nan nan 11.576 15.752
-1.93 nan nan 14.142 16.496
-1.91 nan nan 15.040 15.752
-1.89 nan nan 17.277 18.094
-1.87 nan nan 13.297 19.845
-1.85 nan 7.876 12.893 15.511
-1.83 nan nan 15.274 15.752
-1.81 nan nan 14.584 15.752
-1.79 nan nan 14.584 15.511
-1.77 nan nan 13.713 18.949
-1.75 nan nan 15.752 17.817
-1.73 nan nan 15.274 18.094
-1.71 nan nan 15.274 16.753
-1.69 nan nan 18.374 20.784
-1.67 nan nan 18.660 14.810
-1.65 nan nan 20.153 13.926
-1.63 nan nan 15.511 23.150
-1.61 nan nan 15.996 23.150
-1.59 nan nan 18.094 22.796
-1.57 nan nan 17.817 15.752
-1.55 nan nan 18.094 14.810
-1.53 nan nan 17.817 16.753
-1.51 nan nan 20.466 18.660
-1.49 nan nan 20.153 18.660
-1.47 nan nan 23.150 21.106
-1.45 nan nan 20.466 18.660
-1.43 nan nan 20.153 19.243
-1.41 nan 9.047 20.153 26.592
-1.39 nan 10.884 21.434 23.874
-1.37 nan nan 21.106 17.277
-1.35 nan nan 25.391 17.277
-1.33 nan 7.999 25.391 17.277
-1.31 nan nan 26.592 18.094
-1.29 nan nan 26.185 14.810
-1.27 nan 9.047 27.424 14.584
-1.25 nan 7.999 27.424 25.391
-1.23 nan 7.876 29.619 18.094
-1.21 nan 7.999 31.501 17.545
-1.19 nan 7.999 31.020 21.434
-1.17 nan 9.047 31.501 20.784
-1.15 nan 8.909 30.079 20.784
-1.13 nan 12.123 30.079 20.784
-1.11 nan 11.576 29.619 18.949
-1.09 nan 14.142 31.990 18.949
-1.07 nan 9.923 35.632 23.874
-1.05 nan nan 34.551 20.784
-1.03 nan nan 39.688 21.434
-1.01 nan nan 36.747 17.277
-0.99 nan 8.909 36.747 14.142
-0.97 nan nan 42.210 14.810
-0.95 nan nan 40.304 25.785
-0.93 nan 9.047 46.297 22.448
-0.91 nan 14.810 48.486 22.448
-0.89 nan 18.094 47.745 30.546
-0.87 nan 27.424 48.486 25.003
-0.85 nan 22.105 47.745 20.784
-0.83 nan 21.767 48.486 21.434
-0.81 nan 17.013 52.368 25.785
-0.79 nan 16.753 56.560 27.424
-0.77 nan 25.003 64.969 22.448
-0.75 nan 25.003 58.329 23.150
-0.73 nan 25.391 58.329 20.153
-0.71 nan 28.282 62.036 20.784
-0.69 nan 31.501 65.978 28.282
-0.67 nan 25.785 72.366 28.282
-0.65 nan 36.185 70.170 27.849
-0.63 nan 45.589 71.260 28.282
-0.61 nan 44.206 78.159 28.282
-0.59 nan 49.239 80.604 32.991
-0.57 nan 54.844 84.415 32.487
-0.55 nan 59.235 83.125 32.991
-0.53 nan 67.002 85.726 31.501
-0.51 nan 65.978 84.415 30.079
-0.49 nan 78.159 89.780 29.619
-0.47 nan 79.372 92.588 30.079
-0.45 nan 80.604 91.173 27.424
-0.43 nan 92.588 104.729 26.592
-0.41 nan 120.301 103.128 39.082
-0.39 nan 140.332 109.682 37.317
-0.37 nan 138.187 108.005 42.865
-0.35 nan 138.187 108.005 35.632
